1,8084,41,1,32,3,6741,1,2,2,0,0,70,2,1,1,2,2,72,0,0,0,2,3
1,9029,29,0,12,4,9841,1,2,0,0,0,2,1,1,5,0,1,40,0,0,0,2,2
0,49256,53,0,24,2,7971,2,0,2,2,1,90,0,2,1,0,1,26,0,0,0,2,0
0,44766,48,0,17,4,8958,2,3,1,2,1,49,2,1,0,0,0,18,0,0,0,2,0
1,30081,32,1,19,3,6508,1,3,0,3,1,91,4,1,0,1,1,69,1,0,0,3,2
1,44821,37,0,13,3,5975,2,0,2,3,0,35,2,1,0,1,1,40,0,0,0,2,0
0,59264,25,1,8,4,7615,1,2,1,2,1,73,3,2,5,0,1,32,0,0,0,3,1
0,14641,38,1,19,0,4716,3,0,2,2,1,40,3,2,0,0,1,68,0,0,0,2,2
1,34787,19,0,5,2,7118,2,0,0,1,1,89,0,1,0,0,1,52,0,0,0,3,2
1,50647,47,1,15,1,12102,2,0,0,0,0,13,3,2,3,0,1,54,0,0,0,1,1
1,40139,56,1,4,0,5246,0,0,0,4,0,65,2,1,5,0,1,62,0,1,1,1,1
0,59371,55,1,46,3,6482,2,0,0,2,0,90,3,2,2,2,1,52,0,0,0,0,1
1,7512,53,1,32,0,5010,1,3,0,3,1,74,1,1,3,0,1,111,0,0,0,2,1
0,2208,37,1,12,3,6756,0,1,0,0,0,84,1,2,2,0,1,14,0,0,0,2,1
0,70397,54,0,1,0,5544,2,0,0,2,0,16,3,2,0,0,1,44,1,0,0,1,2
0,9630,39,1,30,0,4531,1,2,2,0,1,27,4,2,1,1,1,83,0,0,0,0,2
1,52711,58,1,39,0,4671,0,0,1,0,1,49,4,1,2,1,2,40,0,0,0,0,0
1,36115,52,1,37,4,10402,2,0,2,0,1,99,1,1,1,0,1,61,1,0,0,2,2
0,45957,41,0,31,3,6890,3,0,1,2,0,59,2,2,0,2,0,106,0,0,0,1,0
0,46825,45,0,33,0,2716,2,1,0,0,0,25,1,2,4,1,0,105,0,0,0,3,1
1,32324,49,1,13,4,6380,2,0,2,0,0,83,1,1,1,2,1,34,1,0,1,3,2
1,36513,36,1,18,1,7489,0,3,0,0,0,6,1,1,0,1,2,74,0,0,0,2,1
1,46744,59,0,26,4,9113,3,3,0,0,0,77,1,0,0,2,1,57,0,0,0,2,1
1,5918,25,1,12,4,8161,3,0,3,1,0,16,0,1,4,0,0,81,0,0,0,2,1
0,45394,29,1,14,2,6484,1,0,0,0,0,38,4,2,1,1,0,35,0,1,0,3,1
1,71576,55,0,30,4,9823,2,3,1,2,0,53,1,1,1,0,1,42,1,0,0,2,3
0,55828,50,0,8,2,8819,3,3,1,1,0,47,2,1,3,1,2,24,0,0,0,3,0
0,7716,20,0,7,2,8935,1,0,0,3,0,96,2,1,0,0,1,75,0,0,1,1,1
1,38415,42,1,8,0,4426,2,0,0,0,0,90,0,1,0,2,1,78,0,0,1,2,2
1,10895,44,0,34,3,5977,2,0,2,1,0,42,3,1,2,2,1,111,0,0,0,2,0
1,43566,27,1,10,0,4400,2,0,1,4,1,95,1,1,1,0,1,70,1,0,0,2,2
0,14850,43,1,3,3,6246,1,0,0,0,1,22,3,1,0,0,1,11,0,0,0,3,3
0,38084,27,0,19,0,4011,1,3,2,1,0,43,1,2,2,0,1,86,1,0,0,2,1
1,67071,32,1,19,3,6310,0,3,0,0,1,14,2,1,4,2,0,41,1,0,0,2,2
0,56387,51,1,41,1,4903,2,0,1,0,1,16,1,1,1,0,2,96,0,0,0,3,1
1,65457,27,1,9,0,4758,2,0,2,3,1,65,0,1,0,1,1,69,0,0,0,2,2
1,21100,44,1,18,0,4223,2,0,2,0,0,49,3,1,1,2,1,24,0,0,0,3,2
0,268,46,0,31,2,9623,1,0,0,2,0,1,0,1,1,0,0,57,0,0,0,2,3
1,2431,49,1,39,0,4136,2,0,0,0,1,82,1,1,1,1,1,83,0,0,0,3,1
1,66588,35,1,2,2,7146,2,0,0,0,1,24,3,1,0,1,1,31,0,0,0,2,2
1,1690,26,1,18,3,6440,0,0,0,0,0,96,0,2,0,1,1,71,1,0,0,2,2
1,73123,44,1,27,2,6547,2,0,0,0,1,94,2,1,1,1,2,49,0,0,0,3,0
1,9576,20,1,3,2,7782,3,0,0,0,0,84,1,0,1,2,1,7,1,0,1,0,1
1,27189,21,0,7,0,5156,2,0,0,1,0,84,0,1,4,2,0,72,0,0,0,2,1
1,11336,23,0,5,2,7127,3,0,0,1,1,5,0,1,1,2,1,55,0,0,1,2,1
0,24871,42,0,18,3,6298,3,0,2,0,0,69,2,2,4,0,2,71,0,0,0,3,0
1,59601,30,0,18,0,4843,0,3,2,0,0,17,4,0,2,1,1,58,0,0,1,2,2
